phecode	cases	controls	p_value	neg_log_p_value	standard_error	beta	conf_int_1	conf_int_2	odds_ratio	log10_odds_ratio	converged	phecode_sex_restriction	phecode_string	phecode_category
GI_529.5	750	3665	0.9996817078182972	0.00013825454198375454	48900.0	19.52644236321158	-95900.0	96000.0	302152484.4203807	8.48022616954468	False	Both	Constipation	Gastrointestinal
DE_679.3	116	4578	0.9977604457928626	0.0009737167872845276	4151.198	11.65186766374506	-8124.547	8147.851	114905.76811423186	5.0603418302314145	False	Both	Flushing	Dermatological
GU_622.1	58	3084	0.025999200939540543	1.585039999447681	16.191	36.0456212845133	4.311	67.78	4512470966413977.0	15.654414420638531	True	Female	Polyp of corpus uteri	Genitourinary
MB_296.4	112	4660	0.998320034118435	0.000730213450874937	6046.545	12.731161977927737	-11800.0	11900.0	338121.9735732731	5.529073395230506	False	Both	Borderline personality disorder	Mental
MS_716	633	3934	0.9920824251341713	0.003452243880248274	1309.2	12.991680602678123	-2552.994	2578.977	438748.047091202	5.6422151963926215	False	Both	Intervertebral disc disorder	Muscloskeletal
GI_530.1	64	4676	0.9981034392018068	0.0008244479444340975	5260.382	12.503869201117181	-10300.0	10300.0	269377.54864355724	5.430361396485214	False	Both	Anal fissure	Gastrointestinal
SO_387.4	251	4433	0.9970939786563959	0.0012639063940637649	3896.614	14.192113753806357	-7623.031	7651.415	1457325.9216403393	6.1635566898213465	False	Both	Presbyopia	Sense organs
SS_809.33	411	4079	0.9941356836118971	0.0025543373104566156	1741.058	12.79659959096493	-3399.615	3425.208	360987.8538719561	5.557492589481479	False	Both	Pain in hand and fingers*	Symptoms
BI_179	131	4621	0.9979725946846392	0.0008813847052687401	5429.978	13.797457827891806	-10600.0	10700.0	982109.2443012954	5.992159798946238	False	Both	Immunodeficiencies	Blood/Immune
GI_557.8	256	4327	0.9947873691507441	0.0022697376189877282	1876.45	12.259053852195438	-3665.515	3690.033	210881.965811257	5.324039441363281	False	Both	Hemorrhage of rectum and anus	Gastrointestinal
MS_719	690	3696	0.9973495639601451	0.001152597865835576	4549.801	15.113689261372036	-8902.333	8932.56	3662619.8721606513	6.5637918474143095	False	Both	Disorders of muscle	Muscloskeletal
RE_488	1547	2743	0.9999534327202315	0.00002022438354161541	442000.0	25.793056825325543	-866000.0	866000.0	159141061535.72977	11.20178225065589	False	Both	Abnormalities of breathing	Respiratory
