phecode	cases	controls	p_value	neg_log_p_value	standard_error	beta	conf_int_1	conf_int_2	odds_ratio	log10_odds_ratio	converged	phecode_sex_restriction	phecode_string	phecode_category
GI_504	244	5615	6.615383157272023e-11	10.179444996787154	0.133	0.8673462662957234	0.607	1.128	2.3805850249877394	0.3766836973516211	True	Both	Periodontal diseases	Gastrointestinal
RE_466.4	69	5933	0.021560856346139485	1.6663339939947024	0.245	0.561879753884577	0.083	1.041	1.7539664286465433	0.24402127660522901	True	Both	Hypertrophy of tonsils and adenoids	Respiratory
BI_177	471	5227	0.0003419672688808686	3.466015460097928	0.101	0.3631495256598841	0.164	0.562	1.4378508387638127	0.15771383509987105	True	Both	Abnormality of the lymph nodes	Blood/Immune
CA_114	69	5975	0.36137704657908554	0.44203943578344607	0.289	-0.2636316965755541	-0.83	0.302	0.7682564390344525	-0.11449379107755554	True	Both	Neuroendocrine tumors	Neoplasms
GI_522	1125	4335	2.058424454486247e-12	11.686465067263436	0.07	0.49540595823490025	0.357	0.634	1.6411643480235907	0.21515207396341002	True	Both	Gastrointestinal inflammation	Gastrointestinal
RE_468.1	54	5918	0.9733090430989151	0.011749241538098136	0.301	0.010055636994472244	-0.579	0.599	1.0101063648030524	0.004367107658721488	True	Both	Viral pneumonia	Respiratory
MB_294	138	5826	1.2865447273458374e-6	5.890575110734765	0.176	0.8528823359508523	0.508	1.198	2.346400228233748	0.37040209221621057	True	Both	Sexual dysfunction and disorders	Mental
MS_723.1	54	5981	0.011524100522644078	1.9383929621029032	0.281	0.7088143990875716	0.159	1.259	2.0315811857292623	0.30783418221730163	True	Both	Adhesive capsulitis of shoulder	Muscloskeletal
DE_668.1	90	5876	9.503250621696246e-9	8.022127817280133	0.217	1.2462056862959277	0.821	1.672	3.477124594512798	0.5412202528747763	True	Both	Atopic dermatitis	Dermatological
CA_144.2	222	3124	0.1648675121526344	0.7828649155070682	0.149	0.20646116667628134	-0.085	0.498	1.2293199947088183	0.08966494541481655	True	Female	Benign neoplasms of the uterus	Neoplasms
GU_593	545	5135	7.702623054075128e-9	8.113361354837842	0.094	0.5450259733108563	0.36	0.73	1.7246531767477828	0.23670177270285392	True	Both	Hematuria	Genitourinary
CV_423	145	5808	0.004488322430204222	2.347915951968322	0.174	0.49324514749754017	0.153	0.833	1.6376219311031934	0.21421364578373725	True	Both	Abnormal cardiac sounds	Cardiovascular
