phecode	cases	controls	p_value	neg_log_p_value	standard_error	beta	conf_int_1	conf_int_2	odds_ratio	log10_odds_ratio	converged	phecode_sex_restriction	phecode_string	phecode_category
NS_333.3	1338	33750	2.426076870539391e-119	118.6150954425782	0.057	1.3200106419925488	1.209	1.431	3.743461214935242	0.5732733378709327	True	Both	Hypersomnia	Neurological
CV_446.2	460	35036	5.861866992565745e-36	35.23196404005147	0.095	1.1893215859243478	1.003	1.376	3.2848519614856153	0.5165158019753684	True	Both	Orthostatic hypotension	Cardiovascular
CA_144.3	90	22515	0.41828181466421366	0.37853101651586596	0.25	0.20218613193820129	-0.287	0.692	1.2240758265146543	0.0878083214181236	True	Female	Benign neoplasms of the ovary	Neoplasms
CA_101.411	148	35698	0.4582757305463956	0.338873141596292	0.217	-0.16081301029113887	-0.586	0.264	0.851451268847389	-0.06984020298769245	True	Both	Malignant neoplasm of colon	Neoplasms
DE_668.1	487	34882	1.9037339784316947e-23	22.720393738604283	0.094	0.940849233577146	0.756	1.126	2.5621563638942737	0.40860563044545817	True	Both	Atopic dermatitis	Dermatological
PP_912	54	22561	0.07922709555680188	1.1011262648960143	0.299	0.5240009848439029	-0.061	1.109	1.6887708976533666	0.22757073622957652	True	Female	Venous complications in pregnancy	Pregnancy
MB_288	11742	21632	0.0	inf	0.031	2.103345000713855	2.042	2.165	8.193531493496064	0.9134711273488186	True	Both	Anxiety and anxiety disorders	Mental
BI_172	89	35644	1.0412195450298881e-6	5.98245768822035	0.216	1.0524662281599326	0.63	1.475	2.8647074353895	0.45708027527938755	True	Both	Other disorders of white blood cells	Blood/Immune
RE_462	4508	28674	6.200502454847133e-213	212.2075731162234	0.035	1.104197558165693	1.035	1.174	3.0168026885844683	0.4795469064424055	True	Both	Sinusitis	Respiratory
RE_463.2	4717	28963	3.4596887236317616e-244	243.4609629739501	0.034	1.1475357364198677	1.08	1.215	3.1504198712646785	0.498368438113933	True	Both	Allergic rhinitis	Respiratory
BI_174.2	285	35363	4.790374299693014e-8	7.319630551316052	0.127	0.6920834187578219	0.444	0.941	1.9978736075837844	0.30056800978325954	True	Both	Splenomegaly	Blood/Immune
EM_200	5168	29724	8.047359931074402e-96	95.09434657372168	0.036	0.7439279136106216	0.674	0.814	2.1041843578952575	0.32308378781489194	True	Both	Disorders of thyroid gland	Endocrine/Metab
SO_361	358	35310	4.622888809831062e-12	11.335086552129198	0.113	0.7826799477133949	0.561	1.004	2.1873263379082215	0.33991358238825303	True	Both	Disorders of eyelid function	Sense organs
MS_713.35	486	34960	1.3648701225251817e-32	31.8649086729853	0.093	1.1094521049596044	0.927	1.292	3.0326963398778837	0.48182892711990355	True	Both	Pain in joints of hand	Muscloskeletal
MS_702	194	35577	1.0038120711667233e-7	6.998347586090127	0.151	0.8026101454250946	0.507	1.098	2.2313575017140344	0.3485691572776851	True	Both	Infective and reactive arthropathies	Muscloskeletal
PP_908.1	212	22348	0.000012441931213688903	4.905112204021956	0.148	0.6486872874408024	0.358	0.94	1.9130279242316837	0.28172130941632906	True	Female	Preeclampsia and eclampsia	Pregnancy
DE_688	249	35403	0.0018846625318349852	2.724766403380038	0.142	0.442736551759428	0.164	0.722	1.55696210138033	0.192278041365993	True	Both	Granulomatous disorder of the skin	Dermatological
ID_005	142	35647	0.0002758249273161898	3.559366487592107	0.18	0.6543843798198514	0.302	1.007	1.9239577255213098	0.28419552519944313	True	Both	Mycobacteria	Infections
MB_287.2	365	35440	4.063346461537844e-27	26.391116145943553	0.106	1.148060684508639	0.939	1.357	3.1520741123122757	0.498596420172172	True	Both	Schizoaffective disorder	Mental
GI_522.14	59	35825	0.0941361681503754	1.0262434837967551	0.288	0.4825418874816593	-0.082	1.048	1.6201875067951776	0.20956527902046448	True	Both	Microscopic colitis*	Gastrointestinal
CA_149.4	188	35680	0.00002563016537425615	4.591248591595889	0.156	0.6582334904208951	0.352	0.965	1.9313775222469323	0.2858671726937117	True	Both	Benign neoplasm of the pituitary gland and craniopharyngeal duct	Neoplasms
CA_121	118	35752	0.7130606006019884	0.14687355936461188	0.237	-0.0871391328895126	-0.552	0.377	0.9165495645721751	-0.03784404457174949	True	Both	Leukemia	Neoplasms
NS_347.1	67	35782	0.0005745698330173993	3.240657179767683	0.253	0.871063317915448	0.375	1.367	2.389450248450203	0.37829799235901707	True	Both	Cerebral cysts	Neurological
GI_504	636	34711	4.359252929263271e-37	36.36058793194662	0.082	1.0457105954508086	0.885	1.207	2.845419747758789	0.4541463412720499	True	Both	Periodontal diseases	Gastrointestinal
SS_840.63	349	35157	2.5537354931407687e-13	12.592824087424326	0.113	0.8241493109202149	0.603	1.045	2.279940419713294	0.3579234979970167	True	Both	Allergy to narcotic agent	Symptoms
BI_171.1	56	35797	0.010478235294078061	1.9797118534761249	0.283	0.7234894895961762	0.169	1.277	2.061614656461608	0.31420749304661943	True	Both	Lymphocytosis (symptomatic)	Blood/Immune
GU_603.2	64	13036	0.00006377686156938881	4.195336856002939	0.256	1.0227172525260526	0.521	1.524	2.7807404816092895	0.44416045931931925	True	Male	Spermatocele	Genitourinary
