phecode	cases	controls	p_value	neg_log_p_value	standard_error	beta	conf_int_1	conf_int_2	odds_ratio	log10_odds_ratio	converged	phecode_sex_restriction	phecode_string	phecode_category
EM_239.1	52	295	0.9459371487952237	0.02413771860688734	0.323	-0.021896625570614475	-0.655	0.611	0.9783413653043614	-0.009509583657619523	True	Both	Hypercholesterolemia	Endocrine/Metab
NS_333.2	123	187	0.012932781539658442	1.8883080584600203	0.236	0.5875272156908201	0.124	1.051	1.7995330519969268	0.2551598277425048	True	Both	Insomnia	Neurological
EM_232.4	69	267	0.07649324729462716	1.116376901998317	0.276	0.4891579415096215	-0.052	1.03	1.630942292768093	0.21243859477678223	True	Both	Vitamin D deficiency	Endocrine/Metab
MB_280.11	219	110	0.07167385703225773	1.144639223927921	0.243	0.43723661986952517	-0.039	0.913	1.548422421223756	0.1898894512953645	True	Both	Alcohol abuse and dependence	Mental
GI_502.1	113	210	0.053047622737266154	1.2753340736895127	0.24	0.4645405974852947	-0.006	0.935	1.5912829815373877	0.20174741810790311	True	Both	Diseases of hard tissues of teeth	Gastrointestinal
MB_296	80	261	0.01755463263016272	1.7556082546841083	0.261	0.6207044903860628	0.108	1.133	1.8602381001877761	0.2695685350672371	True	Both	Personality disorders	Mental
EM_200	55	285	0.958739590391444	0.018299338412034103	0.302	0.015619410448783603	-0.576	0.607	1.015742031028713	0.006783423768488669	True	Both	Disorders of thyroid gland	Endocrine/Metab
MB_288	281	60	9.967014838530774e-6	5.001434895176679	0.337	1.4899093607983547	0.829	2.151	4.436693362434049	0.6470594139307266	True	Both	Anxiety and anxiety disorders	Mental
ID_054.3	136	219	0.002244111656917234	2.6489555383353816	0.223	0.6807563322018668	0.244	1.117	1.975371204231171	0.29564871859596775	True	Both	Hepatitis C	Infections
GI_502.11	81	245	0.16865866246568595	0.7729913481336357	0.26	0.3585225897588905	-0.152	0.869	1.4312133625277565	0.15570438236994943	True	Both	Dental caries	Gastrointestinal
RE_479	66	270	0.5556970283923326	0.25516192561207085	0.278	0.16365423666853124	-0.381	0.708	1.1778070022069396	0.0710741319252319	True	Both	Pulmonary insufficiency and acute respiratory distress syndrome	Respiratory
MS_718.1	75	262	0.07785637703014005	1.108705809613835	0.273	0.48201681851486305	-0.054	1.018	1.6193370199166415	0.2093372444655662	True	Both	Radiculopathy	Muscloskeletal
MS_718.2	95	225	0.0064843880019274415	2.1881310064616266	0.255	0.6948566157075647	0.195	1.195	2.0034217941295607	0.3017723939157638	True	Both	Cervicalgia	Muscloskeletal
SS_819	86	221	0.0007167932490435892	3.144606093631818	0.276	0.9338935930252397	0.393	1.475	2.544396761496681	0.4055848341356628	True	Both	General symptoms and other findings	Symptoms
MB_288.2	52	284	0.016357543714075485	1.7862819104148115	0.313	0.7519646886865521	0.138	1.366	2.1211633510836045	0.3265741148826662	True	Both	Panic disorder [episodic paroxysmal anxiety]	Mental
